Product_SerialNumber,Product_Name,Product_measurement,Product_description,Product_line_number
SN571181665,Sony WH-1000XM5 Max,30x19x4 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN047707
SN269083605,Garmin Fenix 7,33x10x7 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN048374
SN632692614,"Samsung 65"" QLED Ultra",40x28x3 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN032475
SN129540106,Canon EOS R50,35x17x5 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN046380
SN866944899,"Samsung 65"" QLED Max",14x17x10 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN004638
SN204565968,Kindle Paperwhite Lite,32x28x10 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN030098
SN679922843,Logitech MX Keys SE,20x20x10 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN030117
SN470443529,Epson L3250,33x18x7 cm,High-quality Epson L3250. Perfect for everyday use.,PLN044698
SN459451013,MacBook Pro 14,27x13x9 cm,High-quality MacBook Pro 14. Perfect for everyday use.,PLN010110
SN658764771,AirPods Pro 2 SE,14x19x7 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN018535
SN697614499,Kindle Paperwhite Standard,10x17x1 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN030021
SN893679551,Logitech MX Keys,18x14x1 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN003398
SN645975527,DJI Mini 4 Pro Standard,40x27x4 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN047042
SN830572850,DJI Mini 4 Pro Standard,13x13x9 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN021648
SN243392529,Xbox Series X,29x5x10 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN006846
SN656184057,JBL Flip 6,14x24x3 cm,High-quality JBL Flip 6. Perfect for everyday use.,PLN045504
SN542116966,"Samsung 65"" QLED Ultra",32x23x3 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN046194
SN983556207,Logitech MX Keys,13x18x1 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN044017
SN961622974,iPhone 15 Pro,36x29x3 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN010195
SN558736454,ASUS ZenBook 14 Ultra,26x25x4 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN019063
SN751719292,AirPods Pro 2,11x25x6 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN001495
SN179877028,Samsung T7 SSD,16x24x1 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN045418
SN950434969,ASUS ZenBook 14,11x22x2 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN033343
SN616168357,Dell XPS 15,32x29x8 cm,High-quality Dell XPS 15. Perfect for everyday use.,PLN024247
SN215789725,GoPro Hero 12,28x10x10 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN007097
SN868597168,"Samsung 65"" QLED Max",25x10x10 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN029595
SN699642085,Dyson V15,20x14x3 cm,High-quality Dyson V15. Perfect for everyday use.,PLN041441
SN512827994,Dell XPS 15 Ultra,39x15x3 cm,High-quality Dell XPS 15. Perfect for everyday use.,PLN022690
SN886196669,AirPods Pro 2 SE,29x25x7 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN022124
SN792557586,Dyson V15 Lite,35x7x1 cm,High-quality Dyson V15. Perfect for everyday use.,PLN037232
SN659860385,Epson L3250 Plus,23x11x5 cm,High-quality Epson L3250. Perfect for everyday use.,PLN015552
SN414917268,JBL Flip 6,17x22x7 cm,High-quality JBL Flip 6. Perfect for everyday use.,PLN002755
SN987397067,Garmin Fenix 7,30x14x8 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN045963
SN819628197,Nintendo Switch OLED,11x27x2 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN042683
SN365549500,Nespresso Vertuo,31x29x3 cm,High-quality Nespresso Vertuo. Perfect for everyday use.,PLN046456
SN875595874,Dyson V15 Plus,30x7x7 cm,High-quality Dyson V15. Perfect for everyday use.,PLN048176
SN555020609,DJI Mini 4 Pro,22x26x2 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN006709
SN849787052,Razer DeathAdder Standard,12x22x10 cm,High-quality Razer DeathAdder. Perfect for everyday use.,PLN044362
SN183163451,Canon EOS R50,38x11x5 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN030817
SN317914527,Epson L3250,18x11x1 cm,High-quality Epson L3250. Perfect for everyday use.,PLN023026
SN947467869,Dyson V15,28x10x4 cm,High-quality Dyson V15. Perfect for everyday use.,PLN035402
SN349858660,Kindle Paperwhite Standard,32x18x9 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN044127
SN685318615,Xbox Series X,18x7x10 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN009078
SN580542964,"Samsung 65"" QLED Ultra",35x14x6 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN014268
SN113674643,Samsung T7 SSD,24x25x4 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN028326
SN867468531,Logitech MX Keys,16x22x2 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN011078
SN125363815,Canon EOS R50 Max,11x5x6 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN012362
SN892753602,Sony WH-1000XM5,11x17x8 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN047625
SN278784216,ASUS ZenBook 14 Ultra,14x18x7 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN031489
SN105600478,Sony Alpha 7IV Plus,35x11x7 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN017638
SN552532845,Dyson V15 Max,28x13x2 cm,High-quality Dyson V15. Perfect for everyday use.,PLN043338
SN608020535,DJI Mini 4 Pro Standard,36x26x7 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN041022
SN651986662,MacBook Pro 14,26x10x3 cm,High-quality MacBook Pro 14. Perfect for everyday use.,PLN018339
SN270054741,Nintendo Switch OLED,13x11x7 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN011753
SN726872665,Epson L3250 Pro,15x10x9 cm,High-quality Epson L3250. Perfect for everyday use.,PLN037651
SN596312089,Xbox Series X,28x24x3 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN001278
SN863488510,Garmin Fenix 7,35x16x8 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN036859
SN213260151,Epson L3250,30x24x9 cm,High-quality Epson L3250. Perfect for everyday use.,PLN006460
SN832781276,Dyson V15,12x22x8 cm,High-quality Dyson V15. Perfect for everyday use.,PLN006312
SN835261303,Garmin Fenix 7 SE,25x9x10 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN015941
SN544179579,Kindle Paperwhite,31x26x5 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN002659
SN508388263,Nespresso Vertuo Max,16x25x1 cm,High-quality Nespresso Vertuo. Perfect for everyday use.,PLN041627
SN350569181,AirPods Pro 2,27x11x1 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN039064
SN720624517,"LG OLED 55"" Lite",21x20x9 cm,"High-quality LG OLED 55"". Perfect for everyday use.",PLN041944
SN958473986,PlayStation 5 Max,28x29x9 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN035006
SN118882081,Xiaomi 14 Pro Plus,20x29x2 cm,High-quality Xiaomi 14 Pro. Perfect for everyday use.,PLN025574
SN362363951,DJI Mini 4 Pro,34x23x3 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN029937
SN905444958,ASUS ZenBook 14,26x15x9 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN025617
SN530773542,Nespresso Vertuo Lite,15x24x9 cm,High-quality Nespresso Vertuo. Perfect for everyday use.,PLN030253
SN332053516,Dyson V15 Pro,37x12x8 cm,High-quality Dyson V15. Perfect for everyday use.,PLN035269
SN805557365,iPhone 15 Pro,21x22x5 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN045301
SN684590140,Xbox Series X,22x6x5 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN019266
SN775349787,Nintendo Switch OLED Plus,14x14x10 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN006306
SN640366635,iPhone 15 Pro,36x14x5 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN047150
SN702555339,Epson L3250,10x29x2 cm,High-quality Epson L3250. Perfect for everyday use.,PLN046500
SN600433375,Samsung T7 SSD Standard,11x15x5 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN002907
SN983188146,"Samsung 65"" QLED Ultra",37x21x8 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN049900
SN891869344,Dyson V15,27x5x6 cm,High-quality Dyson V15. Perfect for everyday use.,PLN029862
SN311948205,Nespresso Vertuo,39x5x1 cm,High-quality Nespresso Vertuo. Perfect for everyday use.,PLN012446
SN186404978,Razer DeathAdder Plus,18x13x9 cm,High-quality Razer DeathAdder. Perfect for everyday use.,PLN043134
SN307761952,Samsung T7 SSD,19x27x8 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN025884
SN150938666,Canon EOS R50 Pro,32x23x3 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN036677
SN562513435,Samsung T7 SSD,27x28x9 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN047084
SN448664540,Epson L3250 Pro,20x12x6 cm,High-quality Epson L3250. Perfect for everyday use.,PLN048735
SN949351243,MacBook Pro 14 Standard,28x30x10 cm,High-quality MacBook Pro 14. Perfect for everyday use.,PLN009956
SN552035686,GoPro Hero 12,10x26x5 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN016735
SN100774194,Sony Alpha 7IV,12x18x7 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN019823
SN517002319,Dyson V15 Ultra,24x12x1 cm,High-quality Dyson V15. Perfect for everyday use.,PLN043326
SN767713861,Epson L3250 Plus,29x13x3 cm,High-quality Epson L3250. Perfect for everyday use.,PLN045306
SN449000369,Kindle Paperwhite,37x14x10 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN003382
SN821752902,PlayStation 5 Plus,28x27x1 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN006970
SN389901165,Garmin Fenix 7 Plus,21x14x2 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN049073
SN636990013,Samsung T7 SSD,10x13x8 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN034479
SN246881526,GoPro Hero 12 Max,20x24x7 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN009179
SN162390086,DJI Mini 4 Pro Pro,35x27x6 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN029984
SN236402267,Garmin Fenix 7,32x14x9 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN046494
SN548058043,Sony Alpha 7IV,20x10x2 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN029698
SN134911099,PlayStation 5,35x10x10 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN003415
SN515253268,"Samsung 65"" QLED",26x13x10 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN049649
SN108445383,PlayStation 5,25x5x4 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN016512
SN617581747,Sony WH-1000XM5,29x24x2 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN015377
SN262751099,Logitech MX Keys,30x6x6 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN003870
SN562314772,Canon EOS R50 Standard,40x24x9 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN013003
SN390838922,DJI Mini 4 Pro SE,23x8x5 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN022657
SN412818441,Canon EOS R50,10x16x2 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN017900
SN611788471,ASUS ROG Monitor,31x15x10 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN015030
SN931906124,PlayStation 5,12x28x7 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN048870
SN512165815,"Samsung 65"" QLED Lite",10x17x2 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN033862
SN566961377,iPhone 15 Pro Standard,23x17x2 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN045317
SN976132363,Sony WH-1000XM5,40x14x5 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN028711
SN246073614,Epson L3250,28x19x6 cm,High-quality Epson L3250. Perfect for everyday use.,PLN048206
SN582138582,PlayStation 5 Plus,20x24x9 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN014769
SN983258041,Xbox Series X Max,32x29x3 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN019079
SN723359206,ASUS ROG Monitor Standard,27x11x5 cm,High-quality ASUS ROG Monitor. Perfect for everyday use.,PLN008652
SN375072268,AirPods Pro 2,40x19x6 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN014550
SN300407281,PlayStation 5,32x15x9 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN019218
SN258152154,Canon EOS R50,14x22x4 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN020672
SN765466488,PlayStation 5,26x16x4 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN003731
SN442868695,Xbox Series X,39x17x1 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN012811
SN631619127,PlayStation 5,25x6x6 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN009200
SN380892232,"LG OLED 55""",37x26x2 cm,"High-quality LG OLED 55"". Perfect for everyday use.",PLN031865
SN117977325,Samsung T7 SSD,35x6x8 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN045294
SN638879735,Xiaomi 14 Pro,10x28x7 cm,High-quality Xiaomi 14 Pro. Perfect for everyday use.,PLN044840
SN350346336,AirPods Pro 2 SE,35x13x6 cm,High-quality AirPods Pro 2. Perfect for everyday use.,PLN020432
SN947662356,"Samsung 65"" QLED Ultra",26x5x10 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN012555
SN615517327,Samsung Galaxy Tab S9,29x17x4 cm,High-quality Samsung Galaxy Tab S9. Perfect for everyday use.,PLN010253
SN668370652,iPhone 15 Pro Plus,34x16x5 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN006834
SN821875925,Samsung Galaxy Tab S9,19x20x10 cm,High-quality Samsung Galaxy Tab S9. Perfect for everyday use.,PLN003700
SN361347624,Epson L3250 Plus,12x16x10 cm,High-quality Epson L3250. Perfect for everyday use.,PLN046219
SN112703315,Samsung T7 SSD Lite,31x19x8 cm,High-quality Samsung T7 SSD. Perfect for everyday use.,PLN029682
SN699313297,iPhone 15 Pro Pro,25x13x2 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN014073
SN565676781,"Samsung 65"" QLED",17x9x1 cm,"High-quality Samsung 65"" QLED. Perfect for everyday use.",PLN044594
SN167123977,Sony WH-1000XM5,10x29x6 cm,High-quality Sony WH-1000XM5. Perfect for everyday use.,PLN019698
SN247581613,Nintendo Switch OLED Standard,25x12x5 cm,High-quality Nintendo Switch OLED. Perfect for everyday use.,PLN041281
SN665361187,Garmin Fenix 7,14x8x4 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN007700
SN981643779,Epson L3250,15x12x6 cm,High-quality Epson L3250. Perfect for everyday use.,PLN028627
SN463456800,Epson L3250,28x11x4 cm,High-quality Epson L3250. Perfect for everyday use.,PLN012714
SN220294510,ASUS ZenBook 14 Pro,22x13x6 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN019204
SN400113392,"LG OLED 55""",26x26x5 cm,"High-quality LG OLED 55"". Perfect for everyday use.",PLN013508
SN703226647,Dyson V15 Lite,22x9x2 cm,High-quality Dyson V15. Perfect for everyday use.,PLN036529
SN500467574,Dyson V15,18x14x3 cm,High-quality Dyson V15. Perfect for everyday use.,PLN046280
SN511589432,Logitech MX Keys Max,15x10x9 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN028429
SN244407217,DJI Mini 4 Pro Max,30x28x10 cm,High-quality DJI Mini 4 Pro. Perfect for everyday use.,PLN010767
SN699147425,Kindle Paperwhite,39x8x6 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN012652
SN870809125,Razer DeathAdder,15x25x5 cm,High-quality Razer DeathAdder. Perfect for everyday use.,PLN028460
SN141084338,Razer DeathAdder,13x12x10 cm,High-quality Razer DeathAdder. Perfect for everyday use.,PLN012185
SN294981681,GoPro Hero 12,30x17x3 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN022701
SN159870818,Sony Alpha 7IV Lite,27x10x9 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN036645
SN149163980,iPhone 15 Pro Ultra,31x18x3 cm,High-quality iPhone 15 Pro. Perfect for everyday use.,PLN024923
SN566152395,Logitech MX Keys Plus,39x7x1 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN042806
SN207625426,Sony Alpha 7IV Standard,39x25x10 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN022499
SN158931992,Xbox Series X,17x24x5 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN012622
SN419777307,Dyson V15,32x11x10 cm,High-quality Dyson V15. Perfect for everyday use.,PLN006894
SN266556424,Xiaomi 14 Pro Max,17x27x1 cm,High-quality Xiaomi 14 Pro. Perfect for everyday use.,PLN035592
SN219964911,Canon EOS R50 Plus,28x11x2 cm,High-quality Canon EOS R50. Perfect for everyday use.,PLN000430
SN274149391,Sony Alpha 7IV,24x30x3 cm,High-quality Sony Alpha 7IV. Perfect for everyday use.,PLN037355
SN367922719,GoPro Hero 12 Plus,26x16x8 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN049343
SN641089401,PlayStation 5 Ultra,24x8x3 cm,High-quality PlayStation 5. Perfect for everyday use.,PLN041587
SN777835522,Kindle Paperwhite,33x16x8 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN005965
SN739768807,Kindle Paperwhite Lite,16x9x10 cm,High-quality Kindle Paperwhite. Perfect for everyday use.,PLN014977
SN842211155,Xbox Series X,11x29x4 cm,High-quality Xbox Series X. Perfect for everyday use.,PLN023547
SN159622285,GoPro Hero 12,28x13x7 cm,High-quality GoPro Hero 12. Perfect for everyday use.,PLN028699
SN261912137,Logitech MX Keys,37x16x5 cm,High-quality Logitech MX Keys. Perfect for everyday use.,PLN006532
SN376655041,ASUS ZenBook 14,36x7x7 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN034339
SN257471013,Garmin Fenix 7,14x23x3 cm,High-quality Garmin Fenix 7. Perfect for everyday use.,PLN015394
SN806006384,ASUS ZenBook 14 Lite,19x21x9 cm,High-quality ASUS ZenBook 14. Perfect for everyday use.,PLN000538
